Product_Name,Energy,Total_Fat,Saturated_Fat,Total_Sugars,Sodium,Protein,Dietary_Fiber,product_form
Dum aloo,682.33,74.01,22.2,0.71,183.85,0.7,0.68,solid
Spinach paneer (Palak paneer),77.68,4.76,2.95,2.55,166.87,4.03,1.91,solid
Methi chaman,475.62,50.91,15.27,1.79,54.94,1.54,0.53,solid
Sarson ka saag,87.84,5.86,1.76,0.75,165.45,3.0,3.69,solid
Jackfruit sabzi (Kathal ki sabzi),625.4,67.6,22.31,2.59,58.95,0.69,1.02,solid
Avial,124.56,8.94,2.68,3.83,81.5,2.46,5.44,solid
Al yakhani,147.54,13.14,3.94,3.56,206.24,2.86,1.27,solid
Shahi paneer,156.5,12.34,7.65,5.01,215.35,5.06,1.4,solid
Paneer in butter sauce,145.61,8.81,5.46,7.49,151.45,6.99,1.5,solid
Methi malai paneer,194.98,14.76,9.15,6.0,221.16,7.34,1.47,solid
Chilli paneer,777.51,84.01,52.09,1.5,89.04,2.1,0.5,solid
Paneer makhana korma,775.82,82.76,51.31,1.84,77.01,3.24,0.21,solid
Kadhai Paneer,107.99,6.81,4.22,5.54,144.33,4.33,2.07,solid
Roghan josh,139.59,9.02,2.71,2.66,204.31,9.56,2.08,solid
Spinach mutton (Palak mutton),80.32,4.71,1.65,1.42,121.1,5.74,2.23,solid
Pea keema curry (Matar keema ki sabzi),133.0,8.14,2.85,1.82,148.38,8.43,2.96,solid
Keema kofta curry,154.45,10.39,3.64,2.14,311.51,9.77,1.51,solid
Kashmiri mutton koftas (Gushtaba),97.42,6.77,2.37,2.13,130.11,6.33,0.62,solid
Mutton yakhni,104.13,7.7,2.69,0.13,101.02,8.27,0.67,solid
Chicken yakhni,99.0,6.1,2.13,0.12,97.38,10.66,0.62,solid
Mutton do piaza,183.3,14.41,5.04,2.9,118.62,9.39,1.93,solid
Mutton chops,663.64,71.31,24.96,0.42,51.03,4.03,0.17,solid
Shammi kebab,685.69,72.61,25.41,0.31,54.27,4.52,1.05,solid
Scotch egg,676.89,72.62,21.06,0.3,90.67,4.05,0.36,solid
Shepherd's pie (with minced meat),130.7,8.88,3.11,1.7,197.25,7.45,1.05,solid
Chicken curry,129.22,7.57,2.65,1.79,108.0,11.79,1.41,solid
Tandoori chicken,145.2,7.93,2.78,1.58,158.0,16.26,0.5,solid
Butter chicken,137.0,8.7,5.39,2.37,26.21,10.92,1.32,solid
Chicken kebab,729.41,78.89,27.61,0.24,69.76,3.71,0.21,solid
Chilli chicken,198.83,16.56,5.8,0.93,223.75,9.57,0.99,solid
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,7.61,2.66,1.16,107.56,11.48,1.13,solid
Fish curry (Machli curry),111.13,6.69,1.34,2.02,184.71,8.76,1.89,solid
Fried fish (Indian style) (Tali hui machli),658.54,68.88,13.78,0.4,156.94,4.35,0.61,solid
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,69.69,13.94,0.17,72.73,3.36,0.29,solid
Tomato fish,489.79,51.91,10.38,1.35,91.47,2.39,0.72,solid
Baked fish with cheese sauce,113.96,7.02,4.35,3.22,209.48,8.64,0.08,solid
Fish tikka,117.33,4.15,0.83,1.18,503.44,16.0,1.18,solid
Tandoori fish,95.98,4.64,0.93,1.6,123.94,11.19,0.58,solid
"Paneer, apple and pineapple salad",95.08,5.07,3.14,6.36,176.63,3.88,1.65,solid
Russian salad,114.83,7.84,2.35,1.66,101.09,4.26,2.57,solid
Pasta salad,172.3,13.92,4.18,2.6,152.31,4.15,0.96,solid
Deviled egg,98.56,7.72,2.24,0.82,117.29,4.97,1.15,solid
Hawain salad,175.23,11.37,3.41,5.24,64.92,4.27,3.93,solid
Mixed pulse and vegetable salad,60.5,0.84,0.25,1.36,127.78,4.74,2.96,solid
Sprouted moong salad,32.0,0.74,0.22,2.13,116.38,2.29,0.95,solid
Tossed salad,62.96,4.22,1.27,1.56,77.5,1.02,2.15,solid
Mixed vegetable salad with curd sauce,53.5,1.5,0.93,2.16,116.66,4.23,3.79,solid
Potato salad (Aloo ka salaad),76.8,4.4,1.32,3.94,125.01,1.4,1.32,solid
Waldroff salad,141.75,10.05,3.02,8.23,13.42,1.47,1.87,solid
Coleslaw,76.71,5.32,1.6,3.62,29.87,1.24,2.34,solid
Fruit salad (Phalon ka salaad),67.5,1.22,0.37,9.78,7.11,0.91,1.58,solid
Tomato onion raita (Tamatar aur pyaaz ka raita),59.0,1.84,0.55,5.98,165.21,3.74,0.97,solid
Peanut raita (Mungfali ka raita),150.39,8.98,2.69,7.11,235.83,8.59,1.89,solid
Sprouted moong raita,60.89,2.19,0.66,5.59,189.2,4.62,0.16,solid
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,2.07,0.62,5.25,188.37,3.98,0.85,solid
Cucumber raita (Kheere ka raita),59.13,2.08,0.62,5.22,189.96,4.04,0.86,solid
Carrot and spinach raita (Gajar aur palak ka raita),56.83,1.99,0.6,4.93,180.79,4.0,1.39,solid
Mint raita (Pudinay ka raita),77.59,2.96,0.89,7.48,274.38,5.64,0.34,solid
Potato raita (Aloo ka raita),66.2,2.04,0.61,5.08,183.37,4.22,0.75,solid
Boondi raita,687.72,73.83,22.15,1.88,99.18,2.19,0.46,solid
Sweet raita (Meetha raita),99.24,1.78,0.53,15.36,42.98,3.24,1.02,solid
Dahi vadas/Dahi bhalla,667.73,70.4,21.12,1.78,79.0,2.96,0.97,solid
Gunjia,667.34,70.28,21.08,2.05,77.9,2.98,1.13,solid
Saunth/Sonth chutney with tamarind/imli,141.53,0.15,0.04,31.31,244.38,1.01,0.93,solid
Rice kheer (Chawal ki kheer),75.03,2.97,0.89,8.02,16.24,2.3,0.17,solid
Makhana kheer,107.85,5.0,1.5,11.54,23.4,3.31,0.11,solid
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,5.0,1.75,12.79,22.52,3.35,0.5,solid
Semolina kheer (Suji/Rava kheer),113.21,4.2,1.26,12.88,22.66,3.43,0.51,solid
Paneer kheer,105.31,5.37,3.33,9.87,23.81,4.53,0.07,solid
Cabbage kheer (Pattagobhi ki kheer),83.51,3.8,1.14,9.28,22.67,2.87,0.51,solid
Carrot kheer (Gajar ki kheer),85.35,3.85,1.16,9.63,28.54,2.81,0.73,solid
Cauliflower kheer (Phoolgobhi ki kheer),81.95,3.95,1.19,8.49,25.19,3.04,0.55,solid
Moong dal kheer,77.16,2.97,0.98,7.92,16.34,2.95,0.4,solid
Phirni,116.12,4.34,1.3,10.79,22.47,3.49,0.36,solid
Semolina halwa (Suji ka halwa),225.65,13.38,8.3,13.98,1.28,2.16,1.86,solid
Shahi suji halwa,382.34,21.73,13.47,27.21,2.18,3.48,2.96,solid
Carrot halwa (Gajar ka halwa),172.64,9.73,6.03,16.85,39.96,3.11,2.65,solid
Egg halwa (Ande ka halwa),299.74,13.41,8.31,37.85,83.04,7.85,0.49,solid
Potato halwa (Aloo ka halwa),131.0,3.48,2.16,17.42,4.23,1.53,1.64,solid
Pumpkin halwa (Kaddu ka halwa),190.27,8.81,5.46,26.64,8.09,1.33,2.97,solid
Moong dal halwa,349.8,17.68,10.96,25.59,11.19,8.35,2.65,solid
Caramel custard (steamed),121.58,4.87,1.46,14.98,43.57,4.97,0.0,liquid
Baked custard,106.53,5.3,1.59,9.42,47.13,5.41,0.0,solid
Soft Custard (stirred),109.18,5.07,1.52,11.15,122.17,5.01,0.0,solid
Chocolate ice cream,177.7,11.25,6.97,15.33,36.79,4.47,0.0,solid
Mango ice cream,125.69,7.62,4.72,11.01,29.13,3.4,0.52,solid
Fruit Ice cream (Phalon ka Ice cream),171.46,10.38,6.44,14.03,38.78,4.37,0.33,solid
Caramel ice cream,173.52,11.15,6.91,14.52,33.47,4.31,0.08,solid
Lemon souffle,168.51,10.02,3.01,11.67,50.73,6.95,0.0,solid
Orange souffle,168.28,9.73,2.92,12.31,49.22,6.8,0.22,solid
Vanilla souffle,187.85,11.19,3.36,12.86,56.73,7.71,0.0,solid
Chocolate souffle,189.32,11.36,7.04,12.69,56.07,7.88,0.0,solid
Pineapple souffle,196.14,11.72,3.52,13.45,59.17,8.06,0.0,solid
Apple mousse,106.92,4.27,1.28,10.56,28.79,4.21,1.6,solid
Rich chocolate mousse,188.26,12.19,7.56,10.3,51.71,7.96,0.0,solid
Mango mousse,124.98,8.47,2.54,8.89,19.62,3.21,0.88,solid
Orange and pineapple cream,101.18,5.43,3.37,11.37,10.17,1.44,1.03,solid
Charlotte rousse,165.5,4.78,1.43,20.48,56.45,3.95,1.01,solid
Triffle pudding,116.97,3.93,1.18,13.89,26.95,2.93,0.12,solid
Snow flakes pudding,95.21,4.97,1.49,8.01,39.6,4.67,0.03,solid
Kulfi,98.43,4.7,1.41,10.39,23.97,3.21,0.12,solid
Steamed orange pudding,251.5,12.04,3.61,26.53,79.1,2.34,0.58,liquid
Meringue and rice pudding,112.93,4.05,1.21,10.87,44.16,4.84,0.17,solid
Cheese pudding,285.01,18.37,11.39,18.63,37.83,11.29,0.05,solid
Chocolate pudding,211.96,9.48,5.88,20.68,171.36,3.55,0.53,solid
Bread and butter pudding,167.94,7.88,4.89,11.84,96.3,5.59,0.98,solid
Queen of pudding,132.92,5.38,1.61,11.77,85.59,5.51,0.27,solid
Pineapple upside down pudding,233.9,11.91,3.57,22.16,74.52,3.15,0.8,solid
Date and nut pie,295.5,13.31,3.99,31.18,3.87,3.93,4.13,solid
